"Section","ID","Statutory basis","Conditional","Requirement","Current-state diagnostic question","Status","Findings / gap","Evidence reviewed","Remediation (owner & target date)"
"0. Applicability & scope screening","AP-1","Act §3(a)","","Determine whether the Act applies.","Do you process digital personal data collected in digital form (or non-digital then digitised) within India?","Screening","","",""
"0. Applicability & scope screening","AP-2","Act §3(b)","","If yes to AP-1 or AP-2, the Act applies.","Do you process digital personal data outside India in connection with offering goods or services to Data Principals in India?","Screening","","",""
"0. Applicability & scope screening","AP-3","Act §3(c)(i)","","Excluded from the Act.","Is any processing purely by an individual for personal or domestic purposes?","Screening","","",""
"0. Applicability & scope screening","AP-4","Act §3(c)(ii)","","Excluded from the Act.","Is any data made publicly available by the Data Principal herself, or by a person under a legal obligation to publish it?","Screening","","",""
"0. Applicability & scope screening","AP-5","Act §2(i), §2(k)","","Determine role per processing activity.","For each processing activity, are you the Data Fiduciary (determine purpose & means), a Data Processor (process on another's behalf), or both?","Screening","","",""
"0. Applicability & scope screening","AP-6","Act §4(1)","","Maintain a processing inventory mapping each activity to its lawful ground.","Is every processing activity for a lawful purpose (not expressly forbidden by law) and grounded in either consent (§6) or a certain legitimate use (§7)?","Screening","","",""
"0. Applicability & scope screening","AP-7","Act §17","","Scope out exempt processing with the specific clause recorded.","Does any processing fall under a §17 exemption (legal claims; courts/regulatory bodies; offence prevention/investigation; non-India principals under a foreign contract; M&A/insolvency; loan-default financial assessment; notified State instrumentalities; research/archiving/statistical per Rules Second Schedule)?","Screening","","",""
"0. Applicability & scope screening","AP-8","Act §17(3)","Conditional on Govt notification","Conditional exemption from §5, §8(3), §8(7), §10 and §11.","Are you a startup or other class notified by the Central Government as exempt from §5, §8(3), §8(7), §10 and §11?","Screening","","",""
"1. Notice","N-1","Act §5(1)","","Every consent request is accompanied or preceded by a notice stating (i) the personal data and purpose, (ii) how to exercise rights under §6(4) and §13, and (iii) how to complain to the Board.","Is a compliant notice presented at or before every point consent is collected?","Not Assessed","","",""
"1. Notice","N-2","Rules rule 3(a)","","The notice is understandable independently of any other information the Data Fiduciary makes available.","Is the notice a standalone, self-contained document (not buried in a longer T&C)?","Not Assessed","","",""
"1. Notice","N-3","Rules rule 3(b)","","In clear, plain language the notice gives, at minimum, (i) an itemised description of the personal data, and (ii) the specified purpose(s) plus a specific description of the goods/services/uses enabled.","Does each notice itemise the exact data fields and tie them to specific purposes?","Not Assessed","","",""
"1. Notice","N-4","Rules rule 3(c)","","The notice gives the communication link (website/app) and other means to withdraw consent (ease comparable to giving it), exercise rights, and complain to the Board.","Are working links/means for withdrawal, rights and Board complaints present in every notice?","Not Assessed","","",""
"1. Notice","N-5","Act §5(2)","","For consent obtained before commencement, a notice (data + purpose processed; how to exercise rights under §6(4)/§13; how to complain to the Board) is given as soon as reasonably practicable; processing may continue until consent is withdrawn.","Has a back-notice been issued (or planned) for all pre-existing consented data?","Not Assessed","","",""
"1. Notice","N-6","Act §5(3)","","The principal can access the notice in English or any language in the Eighth Schedule to the Constitution.","Is the notice available in English and the relevant Eighth-Schedule language(s)?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-1","Act §6(1)","","Consent is free, specific, informed, unconditional and unambiguous, given by a clear affirmative action, and limited to the personal data necessary for the specified purpose.","Is consent captured by affirmative action, unbundled, and limited to necessary data (no pre-ticked boxes, no bundling unnecessary data)?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-2","Act §6(2)","","Any part of consent that infringes the Act/Rules or other law is invalid to that extent.","Are consent texts reviewed so no clause waives statutory rights (e.g. right to complain)?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-3","Act §6(3)","","Consent requests are in clear and plain language, with a language option (English / Eighth Schedule), and include the contact details of the DPO (where applicable) or other authorised person for rights queries.","Do consent requests carry plain-language text, language choice, and a contact for rights queries?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-4","Act §6(4)-(5)","","The principal can withdraw consent at any time, with ease comparable to giving it; withdrawal consequences are borne by the principal and do not affect the legality of prior processing.","Is there a withdrawal mechanism as easy as the opt-in?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-5","Act §6(6)","","On withdrawal, the Data Fiduciary ceases - and causes its processors to cease - processing within a reasonable time, unless otherwise required/authorised by law.","On withdrawal, does processing (yours and your processors') actually stop within a reasonable time?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-6","Act §6(7)","","The principal may give/manage/review/withdraw consent through a Consent Manager.","Is consent-via-Consent-Manager supported (or a documented decision not to, pending the ecosystem)?","Not Assessed","","",""
"2A. Consent quality and lifecycle","C-7","Act §6(10)","","The Data Fiduciary must be able to prove, in a proceeding, that notice was given and valid consent obtained.","Are immutable, auditable consent + notice records retained per data subject and purpose?","Not Assessed","","",""
"2B. Consent Manager","CM-1","Act §6(9); rule 4(1); 1st Sch. Part A","Conditional - only if registering/acting as a Consent Manager (rule 4 commences ~13 Nov 2026)","Registered with the Board; applicant is a company incorporated in India with net worth >= Rs 2 crore, sound finances/management, and independent certification of an interoperable, standards-compliant consent platform.","Do you meet and evidence every Part A registration condition?","Not Assessed","","",""
"2B. Consent Manager","CM-2","Rules 1st Sch. Part B(2)","Conditional - only if registering/acting as a Consent Manager (rule 4 commences ~13 Nov 2026)","The consent/sharing mechanism is such that contents are not readable by the Consent Manager.","Is the platform architected so the CM cannot read the data it routes?","Not Assessed","","",""
"2B. Consent Manager","CM-3","Rules 1st Sch. Part B(3)-(4)","Conditional - only if registering/acting as a Consent Manager (rule 4 commences ~13 Nov 2026)","Maintain a record of consents given/denied/withdrawn, notices, and sharing; give the principal access and machine-readable copies; retain >= 7 years.","Are consent records kept, accessible, and retained for at least seven years?","Not Assessed","","",""
"2B. Consent Manager","CM-4","Rules 1st Sch. Part B(6)-(10)","Conditional - only if registering/acting as a Consent Manager (rule 4 commences ~13 Nov 2026)","No sub-contracting; act in a fiduciary capacity; avoid conflicts of interest with Data Fiduciaries (directors/KMP/ownership).","Are no-subcontracting and conflict-of-interest controls in place?","Not Assessed","","",""
